id,Categories,Response,Further Responses,Notes,
B07BHY9RSG,Persuade Me.,"open persuade me

Ok, Here's Persuade Me.

Welcome to Persuade Me!! I will give you 4 subjects that were written by the 3rd grade HEROES in Alpharetta, Georgia, as part of their persuasive writing unit. Please choose a number between 1 and 4 to begin.

begin

This subject was chosen by the group ""Mystic Warriors"" in the 3rd Grade HEROES class. The subject is ""Education can change the world"". Would you like to begin?

yes

Education is the best gift in the world. It can help change the world because it is said that education helps get better economic growth, a sustainable environment, and peaceful democratic societies. In 2016 it was said that people who do not hold a degree gain $1,775 per month, but a graduate with a degree makes about $7,000 per month. Still for a high school diploma you may earn up to $4,095 per month. Education can help change your life. Did I persuade you?

yes

Would you like to choose another number?

yes

Welcome to Persuade Me!! I will give you 4 subjects that were written by the 3rd grade HEROES in Alpharetta, Georgia, as part of their persuasive writing unit. Please choose a number between 1 and 4 to begin.

3

This subject was chosen by the group ""Mystic Warriors"" in the 3rd Grade HEROES class. The subject is ""Education can change the world"". Would you like to begin?

yes

Education is the best gift in the world. It can help change the world because it is said that education helps get better economic growth, a sustainable environment, and peaceful democratic societies. In 2016 it was said that people who do not hold a degree gain $1,775 per month, but a graduate with a degree makes about $7,000 per month. Still for a high school diploma you may earn up to $4,095 per month. Education can help change your life. Did I persuade you?

yes

Would you like to choose another number?

yes

Welcome to Persuade Me!! I will give you 4 subjects that were written by the 3rd grade HEROES in Alpharetta, Georgia, as part of their persuasive writing unit. Please choose a number between 1 and 4 to begin.

2

This subject was chosen by the group ""Mystic Warriors"" in the 3rd Grade HEROES class. The subject is ""Education can change the world"". Would you like to begin?

yes

Education is the best gift in the world. It can help change the world because it is said that education helps get better economic growth, a sustainable environment, and peaceful democratic societies. In 2016 it was said that people who do not hold a degree gain $1,775 per month, but a graduate with a degree makes about $7,000 per month. Still for a high school diploma you may earn up to $4,095 per month. Education can help change your life. Did I persuade you?

yes

Would you like to choose another number?

yes

Welcome to Persuade Me!! I will give you 4 subjects that were written by the 3rd grade HEROES in Alpharetta, Georgia, as part of their persuasive writing unit. Please choose a number between 1 and 4 to begin.

4

This subject was chosen by the group ""Mystic Warriors"" in the 3rd Grade HEROES class. The subject is ""Education can change the world"". Would you like to begin?

yes

Education is the best gift in the world. It can help change the world because it is said that education helps get better economic growth, a sustainable environment, and peaceful democratic societies. In 2016 it was said that people who do not hold a degree gain $1,775 per month, but a graduate with a degree makes about $7,000 per month. Still for a high school diploma you may earn up to $4,095 per month. Education can help change your life. Did I persuade you?

yes

Would you like to choose another number?

quit",,,https://getstoryline.com/public/privacy.html
B07CQRFKSC,Amazing Cat Facts,"open cat facts

Ok, Here's Cat Facts

Here's your Cat Fact! A healthy cat has a temperature between 38 and 39 degrees Celsius. meow.

cat facts

Here's your Cat Fact! The first official cat show, in the UK, was organized at Crystal Palace, in 1871. meow.

cat facts

Here's your Cat Fact! A steady diet of dog food may cause blindness in your cat. It lacks the amino acid taurine.

cat facts

Here's your Cat Fact! A cat uses its whiskers for measuring distances. The whiskers of a cat are capable of registering very small changes in air pressure.

cat facts

Here's your Cat Fact! Cat litter was invented in 1947 when Edward Lowe asked his neighbor to try a dried, granulated clay used to sop up grease spills in factories. (In 1990, Mr. Lowe sold his business for $200 million.) meow.

cat facts

Here's your Cat Fact! Cats respond better to women than to men, probably due to the fact that women's voices have a higher pitch.

cat facts

Here's your Cat Fact! Cats have been domesticated for half as long as dogs have been.

quit",,,https://getstoryline.com/public/privacy.html
B07CZ32KFQ,Math Tutor,"Alexa, open Math Tutor",,,https://getstoryline.com/public/privacy.html
B07DPH3QCQ,Fun Animal Facts,"open fun animal facts

Ok, Here's Fun Animal Facts

Here's your fact: Ailurophobia is the fear of cats.

animal fact

Here's a fact about animals. Animal is a taxonomic kingdom, which includes one or more orders in the taxonomy.

animal fact

Here's a fact about animals. Here's what I found on animal's Wikipedia page: The first fossils that might represent animals appear in the 665-million-year-old rocks of the Trezona Formation of South Australia. These fossils are interpreted as most probably being early sponges.The oldest animals are found in the Ediacaran biota, towards the end of the Precambrian, around 610 million years ago.

animal fact

Here's a fact about animals. Animal is a taxonomic kingdom, which includes one or more orders in the taxonomy.

animal fact

Here's a fact about animals. Here's what I found on animal's Wikipedia page: The first fossils that might represent animals appear in the 665-million-year-old rocks of the Trezona Formation of South Australia. These fossils are interpreted as most probably being early sponges.The oldest animals are found in the Ediacaran biota, towards the end of the Precambrian, around 610 million years ago.

animal fact

Here's a fact about animals. Animal is a taxonomic kingdom, which includes one or more orders in the taxonomy.

quit",,,https://getstoryline.com/public/privacy.html
B07PY4ZGQK,Alex Cavey's Adventure,"open alex cavey's adventure

Ok, Here's Alex Cavey's Adventure

Welcome to Alex Cavey's dinosaur adventure. You will be asked to make decisions for Alex and your choices will determine whether Alex gets home safely to his family Are you ready to start the adventure? Please say yes or no

yes

Alex has spent all day chopping wood in the forest. He starts to get tired and begins to load up all his wood ready to take home. All of a sudden Milly monkey comes running up to Alex and says please come quickly...my friend is trapped under a rock. Alex is very tired and knows his family will be waiting for him to bring the wood home so they can start a fire and stay warm. Alex needs your help...if you think he should help milly Monkey say yes or if you think he should go home to his family say no

yes

Of course I will help you says Alex to Milly monkey. Alex follows Milly monkey through the forest to the bottom of a big hill. There are a lot of boulders at the bottom of the hill and Alex can hear a very load groaning sound. Milly monkey says come quick Alexover here. As Alex approaches the bottom of the hill he sees Brenda Brontasauras laying on the floor with her leg trapped under a big rockBrenda is in a lot of pain and Alex tries to lift the rock off Brenda brontasauras's leg but it will not budge. Alex doesnt know what to do. Should he look for something to try and help move the rock or leave milly monkey and brenda brontasaurus and go and get help? Please saymove rock or get help

yes

Alex doesnt know what to do. Should he look for something to try and help move the rock or leave milly monkey and brenda brontasaurus and go and get help? Please saymove rock or get help

yes",,,https://getstoryline.com/public/privacy.html
B07NL7N68M,Water Wise,"open water wise

Ok, Here's Water Wise

<Short audio>

Hello and welcome to Water Wise... Ok... here we go... listen carefully! There are three channels full of interesting questions! Here are the channels! Channel A: Rain Channel B: Ocean Channel C: Ice Which channel would you like to hear?

a

Sorry, I didn't get that! But let's get started! How much time should an ideal shower take? Option A: 5 minutes Option B: 12 minutes

a

<Short audio>

Well done, you’re right! What's more, by installing a low flow showerhead and cutting your shower time you can reduce your water usage and carbon dioxide emissions by 70 to 80%. Ready for the next question? Just say Yes or No

yes

Here goes! Ideally, which tap should you use to wash hands? Option A: Hot water tap Option B: Cold water tap

a

<Short audio>

Oops, that’s not true.. . Always wash your hands with water from the cold tap, not the hot tap. You not only save water, but also energy! Ready for more!! Just say Yes or No

yes

Great! Do you know how much water is wasted when you leave the tap running while brushing? Option A: 3 gallons Option B: 1 gallon

a

<Short audio>

Great, that’s right! On an average, about two gallons of water flow from a faucet each minute. That’s more than 1,000 gallons of water wasted per year! Ready for more!! Just say Yes or No

yes

Alright! If you have food scraps on your plate, what should you do? Option A: Put them in the waste Option B: Wash them down the drain

a

<Short audio>

Way to go.. correct! You can help prevent water pollution by making sure that you always put food scraps in the waste. Shall we move on? Just say Yes or No

yes",,,https://getstoryline.com/public/privacy.html
B07FN28H9F,PJ‚Äôs Adventure Stories Visiting the Planets,not found,,,https://getstoryline.com/public/privacy.html
B07DP192MR,Dragons Lunch,not work,,,https://getstoryline.com/public/privacy.html
B07D3KNJ9L,Nursery Rhyme Trivia,"open nursery rhyme trivia

Ok, Here's Nursery Rhyme Trivia

<Short audio>

Welcome to Nursery Rhyme Trivia Did your mom read you nursery rhymes at bed time? Or maybe you sang them in school? How well do you remember them? Well, lets see if you do I will ask you ten trivia questions about different nursery rhymes. Get more right than wrong, and you win. Ready? Say start.

start

To help me put you on the most challenging path, I need you to answer a question. Which do you like better? Chocolate, vanilla, or strawberry.

chocolate

<Short audio>

Firrst question. This little piggy went to market. Where was the last little piggy trying to go?

i don't know

sorry, the answer is, HOME. Next question Besides 'snakes and snails,' name the other thing that little boys are made of.

i don't know

<Short audio>

sorry, the answer is, puppy dog tails Here's the next one Bake me a cake as fast as you can Recite the first line of this poem.

i don't know

Sorry, the answer is pat a cake pat a cake baker's man On to the next question What did the King of Hearts steal from the Queen of Hearts?

i don't know

<Short audio>

That's not it. To be completely honest This was a trick question. It was the Knave of Hearts not the King of Hearts who stole the tarts. Next question.

i don't know

<Short audio>

Sorry, Your answer is incorrect. You should've said a diamond in the sky Let's see if you get this one. I'm going to say three words and you need to guess the nursery rhyme. Ready? Wall. Fall. Crack. What's your answer?

i don't know

That's not right. The answer is humpty dumpty. Okay. Here's three more words. Hill. Pail. Tumble. What's the name of the nursery rhyme that I'm thinking of?

quit",,,https://getstoryline.com/public/privacy.html
B07DB9JMCP,Community Helpers,"open community helpers

Ok, Here's Community Helpers

Welcome to Community Helpers! Do you know the people in your neighborhood? Yes? Then, let's see if you can win this challenge. First, tell me your name.

terry

Well terry I'm happy you've come to play This game is really easy. I'm going to give you some clues and you have to guess the community helper. Answer correctly and

<Short audio>

You WIN! Ready to play? Say begin

begin

Ok. Here is your first question.

<Short audio>

Who helps you when you are sick?

you

Ok. Here is your first question.

<Short audio>

Who helps you when you are sick?

terry

Ok. Here is your first question.

<Short audio>

Who helps you when you are sick?

quit",,,https://getstoryline.com/public/privacy.html
